episode,reward,discounted_reward,steps,distance_traveled
331,-300.2848802112376,-131.09620435303532,296,298.78107
332,-300.0759173497703,-125.80205565182945,199,546.6904
333,-300.4474937154448,-114.11353840562123,337,237.16306
334,-300.04701446069515,-123.68551950640985,263,265.07803
335,-301.80448643963075,-146.93047893186213,197,253.26834
336,-301.76580127666466,-143.1868620902543,199,259.60754
337,-301.109502668817,-126.6312875859892,213,263.73712
338,-301.1699870110888,-110.12572603637976,230,252.42068
339,-302.44166434966223,-124.03766292065065,223,193.71259
340,-300.5797623406814,-110.35378955470652,231,125.27112
341,-306.24563718533847,-115.54741635761168,229,164.2804
342,-301.08239500528487,-123.24187102407241,226,86.5957
343,-300.18527882826896,-117.27670109763973,233,115.11252
344,-307.95124397297474,-96.07206085209062,216,145.46822
345,-300.3563050543704,-91.82684039845738,359,191.58014
346,-307.56390112625024,-115.46558369984085,196,562.37476
347,-300.2689045227171,-101.66593850012052,273,519.49664
348,-301.66006422225377,-73.91827897878971,395,574.7376
349,-300.0592596170792,-88.81414379750382,318,128.36931
350,-300.6092527194453,-97.19894972922064,223,227.40857
351,-306.2573230411459,-112.52861316020191,237,106.36339
352,-307.36523083553897,-106.38146588459034,241,73.28461
353,-301.9417375460023,-97.45504707184939,242,73.06181
354,-307.34656207519447,-107.83496362170615,239,69.30539
355,-303.5650658130052,-121.32042758343398,234,102.150345
356,-303.9492695362975,-117.28772635045345,241,74.62634
357,-307.4051969413269,-101.58507676616227,242,99.91716
358,-306.47891732585657,-105.02006606254629,233,88.97301
359,-171.14175639667678,-47.4313784074739,500,119.86479
360,-300.60610933006785,-109.60898870380728,303,344.68518
361,-301.2330210763213,-126.27465031742004,180,290.1586
362,-300.4268714392298,-138.77034670650448,123,362.27982
363,-300.62061051909177,-143.04831328626472,101,119.34596
364,-301.58773552494023,-145.72936647995718,100,102.640274
365,-311.5483027905798,-154.21467316712156,97,110.11293
366,-312.15349434046954,-151.25079470651556,100,61.319748
367,-306.18804133959065,-148.3825332829448,98,94.309525
368,-310.82842555877426,-149.34692734794172,96,63.29338
369,-301.47362519029707,-146.52352661103058,97,88.74657
370,-300.893312731873,-146.69578818193864,95,82.18207
371,-309.1352989383743,-151.97423773400868,93,91.82985
372,-302.61954650751164,-156.83383579620136,89,84.26967
373,-309.4356974209937,-156.9371587819712,89,109.3815
374,-303.0527128591764,-156.7084799232372,90,74.75757
375,-301.27908965426514,-150.68295776028896,100,155.37045
376,-304.97799620059476,-124.20424241233908,181,554.34546
377,-300.1603124148279,-158.59996625020608,86,123.199036
378,-302.2665916566474,-135.4782082953736,184,547.15424
379,-300.51136427985637,-157.6497513339785,94,146.91537
380,-303.9247169045862,-163.075846953791,89,74.60918
381,-305.0810627736672,-165.92897399618488,89,56.224182
382,-310.0066738830814,-164.89873128975046,86,102.95001
383,-307.1765522703155,-165.9750985979974,94,178.62582
384,-300.78070218723013,-130.35959355952735,196,601.74066
385,-318.3662016933556,-172.75660049546,85,151.19382
386,-303.2256516628017,-162.7272110204301,91,54.536743
387,-303.9868643482365,-167.48201998568817,87,57.518585
388,-303.6012844918041,-174.12259691962637,84,89.751144
389,-307.1402392632526,-170.46841776168054,90,123.163284
390,-300.8209842935064,-168.55452050024223,93,293.48547
391,-302.7124782032254,-176.39456523479828,88,75.344284
392,-300.05273576477623,-169.24633585548983,126,443.5777
393,-308.97214296099094,-179.705347698217,87,106.4409
394,-303.56378457568854,-177.33100796179096,85,94.95856
395,-303.40996815109713,-171.64141052767454,91,95.68939
396,-302.07882349782255,-171.84974843101017,91,116.82068
397,-313.6809661223446,-176.30642093121367,94,166.09393
398,-300.682270704655,-170.76483321455154,96,184.87802
399,-302.11894072189926,-177.24747846469268,87,161.33551
400,-314.01471495324915,-180.31494002172246,91,182.45694
401,-300.68268330236754,-173.94954820734995,86,76.01962
402,-300.7982220391258,-166.34990776854377,96,162.91275
403,-301.33629941018074,-154.80365665783964,177,236.09445
404,-304.5149475500219,-157.33318515068993,175,270.40253
405,-309.3732317522809,-169.0757003769701,92,78.51074
406,-308.0605395975933,-136.51693436023865,198,294.13223
